Week Start Date,Product ID,Product Name,Units Sold,Price ($),Discount Percentage,Revenue ($),Region,Avg Gas Price,CPI
14-01-2024,P006,Product_6,26,28.83,0,749.69,USA,3.073,309.794
14-01-2024,P007,Product_7,21,9.19,15,164.03,USA,3.073,309.794
14-01-2024,P008,Product_8,23,20.26,0,465.9,USA,3.073,309.794
14-01-2024,P009,Product_9,21,37.67,15,672.37,USA,3.073,309.794
14-01-2024,P010,Product_10,21,33.89,0,711.72,USA,3.073,309.794
14-01-2024,P011,Product_11,21,12.27,15,219.08,USA,3.073,309.794
14-01-2024,P012,Product_12,16,5.23,0,83.64,USA,3.073,309.794
14-01-2024,P001,Product_1,14,28.04,0,392.62,USA,3.073,309.794
14-01-2024,P013,Product_13,14,29.69,5,394.92,USA,3.073,309.794
14-01-2024,P023,Product_23,22,46.17,0,1015.72,USA,3.073,309.794
14-01-2024,P022,Product_22,22,47.32,20,832.84,USA,3.073,309.794
14-01-2024,P021,Product_21,14,13.79,10,173.7,USA,3.073,309.794
14-01-2024,P020,Product_20,27,30.96,0,835.94,USA,3.073,309.794
14-01-2024,P019,Product_19,20,45.14,5,857.7,USA,3.073,309.794
14-01-2024,P025,Product_25,17,18.25,0,310.25,USA,3.073,309.794
14-01-2024,P017,Product_17,15,9.22,0,138.23,USA,3.073,309.794
14-01-2024,P016,Product_16,22,34.59,5,722.98,USA,3.073,309.794
14-01-2024,P015,Product_15,24,19.64,10,424.29,USA,3.073,309.794
14-01-2024,P014,Product_14,23,37.05,0,852.11,USA,3.073,309.794
14-01-2024,P018,Product_18,15,48.79,0,731.78,USA,3.073,309.794
21-01-2024,P027,Product_27,19,40.62,10,694.62,USA,3.058,309.794
21-01-2024,P028,Product_28,15,7.59,5,108.16,USA,3.058,309.794
21-01-2024,P029,Product_29,15,24.87,15,317.08,USA,3.058,309.794
21-01-2024,P030,Product_30,18,11.43,10,185.24,USA,3.058,309.794
21-01-2024,P031,Product_31,21,32.82,0,689.22,USA,3.058,309.794
21-01-2024,P032,Product_32,17,8.27,10,126.6,USA,3.058,309.794
21-01-2024,P033,Product_33,12,36.78,0,441.37,USA,3.058,309.794
21-01-2024,P034,Product_34,12,41.58,15,424.08,USA,3.058,309.794
21-01-2024,P035,Product_35,16,49.37,10,710.93,USA,3.058,309.794
21-01-2024,P036,Product_36,18,39.97,5,683.51,USA,3.058,309.794
21-01-2024,P037,Product_37,19,24.09,15,389.05,USA,3.058,309.794
21-01-2024,P040,Product_40,15,38.57,5,549.65,USA,3.058,309.794
21-01-2024,P039,Product_39,21,7.53,0,158.21,USA,3.058,309.794
21-01-2024,P041,Product_41,23,48.3,0,1110.85,USA,3.058,309.794
21-01-2024,P042,Product_42,17,15.06,20,204.84,USA,3.058,309.794
21-01-2024,P050,Product_50,20,48.85,20,781.56,USA,3.058,309.794
21-01-2024,P044,Product_44,20,8.32,5,158.1,USA,3.058,309.794
21-01-2024,P045,Product_45,27,48.62,5,1247.07,USA,3.058,309.794
21-01-2024,P046,Product_46,24,25.45,5,580.36,USA,3.058,309.794
21-01-2024,P047,Product_47,30,31.29,15,798,USA,3.058,309.794
21-01-2024,P048,Product_48,15,17.48,0,262.23,USA,3.058,309.794
21-01-2024,P049,Product_49,16,25.87,0,413.86,USA,3.058,309.794
21-01-2024,P026,Product_26,13,35.26,10,412.58,USA,3.058,309.794
21-01-2024,P038,Product_38,14,5.51,0,77.15,USA,3.058,309.794
21-01-2024,P043,Product_43,21,5.55,20,93.19,USA,3.058,309.794
21-01-2024,P025,Product_25,14,33.43,0,468.06,USA,3.058,309.794
21-01-2024,P023,Product_23,21,22.51,0,472.8,USA,3.058,309.794
21-01-2024,P024,Product_24,19,47.78,5,862.38,USA,3.058,309.794
21-01-2024,P001,Product_1,22,21.02,10,416.17,USA,3.058,309.794
21-01-2024,P002,Product_2,23,26.34,0,605.77,USA,3.058,309.794
21-01-2024,P003,Product_3,18,27.12,0,488.21,USA,3.058,309.794
21-01-2024,P004,Product_4,13,22.93,5,283.22,USA,3.058,309.794
21-01-2024,P005,Product_5,27,33.58,0,906.64,USA,3.058,309.794
21-01-2024,P007,Product_7,20,34.64,0,692.82,USA,3.058,309.794
21-01-2024,P008,Product_8,16,6.19,5,94.13,USA,3.058,309.794
21-01-2024,P009,Product_9,27,47.31,5,1213.51,USA,3.058,309.794
21-01-2024,P010,Product_10,13,25.62,5,316.42,USA,3.058,309.794
21-01-2024,P011,Product_11,21,47.37,0,994.68,USA,3.058,309.794
21-01-2024,P006,Product_6,12,27.64,15,281.94,USA,3.058,309.794
21-01-2024,P013,Product_13,17,43.02,0,731.33,USA,3.058,309.794
21-01-2024,P014,Product_14,24,10.32,5,235.24,USA,3.058,309.794
21-01-2024,P015,Product_15,24,33.3,15,679.37,USA,3.058,309.794
21-01-2024,P016,Product_16,23,17.69,0,406.91,USA,3.058,309.794
21-01-2024,P017,Product_17,19,38.78,10,663.1,USA,3.058,309.794
21-01-2024,P018,Product_18,20,21.74,10,391.33,USA,3.058,309.794
21-01-2024,P019,Product_19,18,20.34,15,311.14,USA,3.058,309.794
21-01-2024,P020,Product_20,25,38.79,10,872.76,USA,3.058,309.794
21-01-2024,P021,Product_21,26,9.64,15,213.06,USA,3.058,309.794
21-01-2024,P012,Product_12,16,8.2,0,131.26,USA,3.058,309.794
21-01-2024,P022,Product_22,20,19.4,15,329.84,USA,3.058,309.794
28-01-2024,P036,Product_36,23,13.3,0,305.98,USA,3.062,309.794
28-01-2024,P035,Product_35,23,7.75,0,178.22,USA,3.062,309.794
28-01-2024,P034,Product_34,21,44.31,15,790.95,USA,3.062,309.794
28-01-2024,P033,Product_33,16,27.65,5,420.34,USA,3.062,309.794
28-01-2024,P028,Product_28,15,13.18,0,197.77,USA,3.062,309.794
28-01-2024,P031,Product_31,19,12.6,0,239.44,USA,3.062,309.794
28-01-2024,P030,Product_30,22,13.65,0,300.37,USA,3.062,309.794
28-01-2024,P029,Product_29,15,45.36,0,680.33,USA,3.062,309.794
28-01-2024,P037,Product_37,12,21.67,0,260.05,USA,3.062,309.794
28-01-2024,P032,Product_32,14,14.29,0,199.99,USA,3.062,309.794
28-01-2024,P038,Product_38,26,25.81,10,604.05,USA,3.062,309.794
28-01-2024,P050,Product_50,22,9.58,0,210.76,USA,3.062,309.794
28-01-2024,P040,Product_40,21,28.03,5,559.11,USA,3.062,309.794
28-01-2024,P041,Product_41,11,9.82,0,108.05,USA,3.062,309.794
28-01-2024,P042,Product_42,21,17.12,0,359.43,USA,3.062,309.794
28-01-2024,P043,Product_43,16,5.9,0,94.45,USA,3.062,309.794
28-01-2024,P044,Product_44,14,10.39,15,123.63,USA,3.062,309.794
28-01-2024,P045,Product_45,19,31.71,5,572.4,USA,3.062,309.794
28-01-2024,P046,Product_46,27,8.91,5,228.58,USA,3.062,309.794
28-01-2024,P047,Product_47,14,31.41,10,395.74,USA,3.062,309.794
28-01-2024,P048,Product_48,19,17.77,0,337.63,USA,3.062,309.794
28-01-2024,P049,Product_49,13,34.07,5,420.72,USA,3.062,309.794
28-01-2024,P027,Product_27,21,10.76,0,226,USA,3.062,309.794
28-01-2024,P039,Product_39,22,6.65,0,146.32,USA,3.062,309.794
28-01-2024,P026,Product_26,23,8.41,0,193.52,USA,3.062,309.794
28-01-2024,P013,Product_13,12,15.29,5,174.29,USA,3.062,309.794
28-01-2024,P024,Product_24,19,25.66,20,390.05,USA,3.062,309.794
28-01-2024,P002,Product_2,17,35.81,0,608.82,USA,3.062,309.794
28-01-2024,P003,Product_3,13,45.99,10,538.1,USA,3.062,309.794
28-01-2024,P004,Product_4,29,46.97,15,1157.88,USA,3.062,309.794
28-01-2024,P005,Product_5,25,7.03,0,175.87,USA,3.062,309.794
28-01-2024,P006,Product_6,17,49.43,0,840.27,USA,3.062,309.794
28-01-2024,P007,Product_7,19,31.74,0,602.98,USA,3.062,309.794
28-01-2024,P008,Product_8,26,23.67,0,615.34,USA,3.062,309.794
28-01-2024,P009,Product_9,20,7.54,15,128.13,USA,3.062,309.794
28-01-2024,P010,Product_10,20,39.6,15,673.28,USA,3.062,309.794
28-01-2024,P011,Product_11,14,43.23,0,605.28,USA,3.062,309.794
28-01-2024,P012,Product_12,19,47.93,5,865.18,USA,3.062,309.794
28-01-2024,P001,Product_1,24,36.42,5,830.31,USA,3.062,309.794
28-01-2024,P014,Product_14,26,10.11,5,249.72,USA,3.062,309.794
28-01-2024,P015,Product_15,25,28.41,10,639.31,USA,3.062,309.794
28-01-2024,P016,Product_16,20,29.84,5,566.88,USA,3.062,309.794
28-01-2024,P017,Product_17,23,44.45,0,1022.34,USA,3.062,309.794
28-01-2024,P018,Product_18,26,36.68,0,953.77,USA,3.062,309.794
28-01-2024,P019,Product_19,25,11.14,0,278.42,USA,3.062,309.794
28-01-2024,P020,Product_20,11,22.65,0,249.16,USA,3.062,309.794
28-01-2024,P021,Product_21,27,45.69,0,1233.55,USA,3.062,309.794
28-01-2024,P022,Product_22,20,22.84,5,434.04,USA,3.062,309.794
28-01-2024,P023,Product_23,11,43.81,15,409.59,USA,3.062,309.794
28-01-2024,P025,Product_25,13,27.17,0,353.18,USA,3.062,309.794
04-02-2024,P037,Product_37,24,15.32,10,330.83,USA,3.095,311.022
04-02-2024,P036,Product_36,15,40.88,0,613.17,USA,3.095,311.022
04-02-2024,P035,Product_35,18,9.98,10,161.65,USA,3.095,311.022
04-02-2024,P034,Product_34,21,20.39,10,385.44,USA,3.095,311.022
04-02-2024,P029,Product_29,21,33.25,0,698.18,USA,3.095,311.022
04-02-2024,P032,Product_32,15,16.18,10,218.46,USA,3.095,311.022
04-02-2024,P031,Product_31,17,45.23,10,691.95,USA,3.095,311.022
04-02-2024,P030,Product_30,17,32.9,5,531.39,USA,3.095,311.022
04-02-2024,P038,Product_38,26,36.23,5,894.82,USA,3.095,311.022
04-02-2024,P033,Product_33,22,6.51,5,136.04,USA,3.095,311.022
04-02-2024,P039,Product_39,11,16.33,0,179.64,USA,3.095,311.022
04-02-2024,P044,Product_44,21,36.83,0,773.34,USA,3.095,311.022
04-02-2024,P041,Product_41,32,11.9,5,361.78,USA,3.095,311.022
04-02-2024,P042,Product_42,20,5.81,15,98.85,USA,3.095,311.022
04-02-2024,P043,Product_43,22,46.95,5,981.16,USA,3.095,311.022
04-02-2024,P045,Product_45,27,30.93,5,793.43,USA,3.095,311.022
04-02-2024,P046,Product_46,17,47.05,15,679.82,USA,3.095,311.022
04-02-2024,P047,Product_47,20,25.29,0,505.76,USA,3.095,311.022
04-02-2024,P048,Product_48,25,31.61,0,790.18,USA,3.095,311.022
04-02-2024,P049,Product_49,14,7.46,0,104.5,USA,3.095,311.022
04-02-2024,P050,Product_50,11,29.18,15,272.86,USA,3.095,311.022
04-02-2024,P028,Product_28,23,10.26,15,200.59,USA,3.095,311.022
04-02-2024,P040,Product_40,27,25.79,15,591.89,USA,3.095,311.022
04-02-2024,P027,Product_27,21,22.28,5,444.39,USA,3.095,311.022
04-02-2024,P026,Product_26,28,15.45,15,367.7,USA,3.095,311.022
04-02-2024,P001,Product_1,17,16.07,0,273.16,USA,3.095,311.022
04-02-2024,P025,Product_25,20,25.82,0,516.41,USA,3.095,311.022
04-02-2024,P002,Product_2,15,12.8,15,163.22,USA,3.095,311.022
04-02-2024,P003,Product_3,21,8.61,5,171.78,USA,3.095,311.022
04-02-2024,P004,Product_4,19,10.04,0,190.79,USA,3.095,311.022
04-02-2024,P005,Product_5,17,48.63,15,702.65,USA,3.095,311.022
04-02-2024,P006,Product_6,23,12.69,5,277.28,USA,3.095,311.022
04-02-2024,P007,Product_7,11,46.82,5,489.29,USA,3.095,311.022
04-02-2024,P009,Product_9,11,19.57,0,215.22,USA,3.095,311.022
04-02-2024,P010,Product_10,20,10.17,5,193.19,USA,3.095,311.022
04-02-2024,P011,Product_11,19,17.99,5,324.69,USA,3.095,311.022
04-02-2024,P012,Product_12,13,28.97,0,376.56,USA,3.095,311.022
04-02-2024,P008,Product_8,22,39.63,0,871.8,USA,3.095,311.022
04-02-2024,P014,Product_14,17,16.46,5,265.81,USA,3.095,311.022
04-02-2024,P013,Product_13,25,20.15,0,503.68,USA,3.095,311.022
04-02-2024,P023,Product_23,26,21.15,15,467.36,USA,3.095,311.022
04-02-2024,P022,Product_22,17,34.93,5,564.18,USA,3.095,311.022
04-02-2024,P021,Product_21,21,14.07,0,295.54,USA,3.095,311.022
04-02-2024,P020,Product_20,21,11.29,10,213.38,USA,3.095,311.022
04-02-2024,P024,Product_24,17,24.76,0,420.94,USA,3.095,311.022
04-02-2024,P018,Product_18,16,47.23,0,755.61,USA,3.095,311.022
04-02-2024,P017,Product_17,21,42.38,20,711.95,USA,3.095,311.022
04-02-2024,P016,Product_16,16,20.7,15,281.51,USA,3.095,311.022
04-02-2024,P015,Product_15,7,39.21,5,260.75,USA,3.095,311.022
04-02-2024,P019,Product_19,25,7.99,10,179.83,USA,3.095,311.022
11-02-2024,P037,Product_37,21,34.31,10,648.53,USA,3.136,311.022
11-02-2024,P028,Product_28,28,18.25,15,434.37,USA,3.136,311.022
11-02-2024,P029,Product_29,19,39.36,0,747.88,USA,3.136,311.022
11-02-2024,P030,Product_30,25,45.25,10,1018.23,USA,3.136,311.022
11-02-2024,P031,Product_31,21,24.13,0,506.83,USA,3.136,311.022
11-02-2024,P032,Product_32,11,33.51,0,368.57,USA,3.136,311.022
11-02-2024,P033,Product_33,20,11.27,10,202.88,USA,3.136,311.022
11-02-2024,P034,Product_34,21,12.73,0,267.24,USA,3.136,311.022
11-02-2024,P035,Product_35,20,5.83,15,99.07,USA,3.136,311.022
11-02-2024,P036,Product_36,15,17.33,5,246.99,USA,3.136,311.022
11-02-2024,P038,Product_38,24,32.02,5,730.13,USA,3.136,311.022
11-02-2024,P027,Product_27,9,33.09,0,297.78,USA,3.136,311.022
11-02-2024,P040,Product_40,13,28.35,0,368.57,USA,3.136,311.022
11-02-2024,P041,Product_41,20,12.48,10,224.69,USA,3.136,311.022
11-02-2024,P042,Product_42,16,16.04,0,256.65,USA,3.136,311.022
11-02-2024,P043,Product_43,15,17.99,0,269.87,USA,3.136,311.022
11-02-2024,P044,Product_44,25,30.49,0,762.21,USA,3.136,311.022
11-02-2024,P045,Product_45,15,34.87,15,444.53,USA,3.136,311.022
11-02-2024,P046,Product_46,23,6.4,0,147.27,USA,3.136,311.022
11-02-2024,P047,Product_47,32,31.78,0,1016.91,USA,3.136,311.022
11-02-2024,P048,Product_48,19,20.04,10,342.7,USA,3.136,311.022
11-02-2024,P049,Product_49,19,9.8,0,186.14,USA,3.136,311.022
11-02-2024,P050,Product_50,28,35.98,0,1007.39,USA,3.136,311.022
11-02-2024,P039,Product_39,10,12.89,15,109.58,USA,3.136,311.022
11-02-2024,P026,Product_26,12,31.56,0,378.76,USA,3.136,311.022
11-02-2024,P001,Product_1,18,20.59,0,370.54,USA,3.136,311.022
11-02-2024,P024,Product_24,13,23.96,15,264.8,USA,3.136,311.022
11-02-2024,P025,Product_25,16,41.78,0,668.56,USA,3.136,311.022
11-02-2024,P002,Product_2,28,15.11,0,423,USA,3.136,311.022
11-02-2024,P003,Product_3,6,11.34,0,68.03,USA,3.136,311.022
11-02-2024,P004,Product_4,19,46.17,0,877.19,USA,3.136,311.022
11-02-2024,P005,Product_5,18,31.13,5,532.26,USA,3.136,311.022
11-02-2024,P006,Product_6,14,8.84,20,99.02,USA,3.136,311.022
11-02-2024,P008,Product_8,19,14.45,15,233.3,USA,3.136,311.022
11-02-2024,P009,Product_9,19,14.23,0,270.39,USA,3.136,311.022
11-02-2024,P010,Product_10,17,30.42,0,517.1,USA,3.136,311.022
11-02-2024,P011,Product_11,6,39.9,0,239.39,USA,3.136,311.022
11-02-2024,P012,Product_12,25,23.03,5,547.07,USA,3.136,311.022
11-02-2024,P007,Product_7,20,27.6,5,524.38,USA,3.136,311.022
11-02-2024,P014,Product_14,16,33.98,0,543.68,USA,3.136,311.022
11-02-2024,P015,Product_15,24,6.14,0,147.42,USA,3.136,311.022
11-02-2024,P016,Product_16,26,6.22,0,161.7,USA,3.136,311.022
11-02-2024,P017,Product_17,17,15.4,5,248.68,USA,3.136,311.022
11-02-2024,P018,Product_18,22,34.37,0,756.22,USA,3.136,311.022
11-02-2024,P019,Product_19,23,9.47,0,217.92,USA,3.136,311.022
11-02-2024,P020,Product_20,22,42.36,0,931.92,USA,3.136,311.022
11-02-2024,P021,Product_21,22,35.06,0,771.4,USA,3.136,311.022
11-02-2024,P022,Product_22,18,5.59,0,100.53,USA,3.136,311.022
11-02-2024,P013,Product_13,12,11.99,0,143.83,USA,3.136,311.022
11-02-2024,P023,Product_23,21,14.35,0,301.45,USA,3.136,311.022
18-02-2024,P036,Product_36,17,36.32,0,617.46,USA,3.192,311.022
18-02-2024,P035,Product_35,27,7.6,20,164.22,USA,3.192,311.022
18-02-2024,P034,Product_34,17,40.08,0,681.38,USA,3.192,311.022
18-02-2024,P033,Product_33,16,15.38,0,246.08,USA,3.192,311.022
18-02-2024,P028,Product_28,21,22.29,5,444.78,USA,3.192,311.022
18-02-2024,P031,Product_31,20,32.6,0,652.07,USA,3.192,311.022
18-02-2024,P030,Product_30,18,47.51,0,855.23,USA,3.192,311.022
18-02-2024,P029,Product_29,24,14.82,15,302.36,USA,3.192,311.022
18-02-2024,P037,Product_37,21,41.71,0,875.96,USA,3.192,311.022
18-02-2024,P032,Product_32,22,32.35,5,676.08,USA,3.192,311.022
18-02-2024,P038,Product_38,12,31.68,5,361.18,USA,3.192,311.022
18-02-2024,P050,Product_50,22,36.39,5,760.47,USA,3.192,311.022
18-02-2024,P040,Product_40,18,44.99,20,647.91,USA,3.192,311.022
18-02-2024,P041,Product_41,23,43.8,10,906.57,USA,3.192,311.022
18-02-2024,P042,Product_42,30,8.91,0,267.43,USA,3.192,311.022
18-02-2024,P043,Product_43,19,21.77,0,413.65,USA,3.192,311.022
18-02-2024,P044,Product_44,28,8.65,0,242.12,USA,3.192,311.022
18-02-2024,P045,Product_45,19,35.75,0,679.19,USA,3.192,311.022
18-02-2024,P046,Product_46,25,26.63,5,632.38,USA,3.192,311.022
18-02-2024,P047,Product_47,23,42.11,0,968.54,USA,3.192,311.022
18-02-2024,P048,Product_48,29,17.02,15,419.45,USA,3.192,311.022
18-02-2024,P049,Product_49,24,40.88,5,932.16,USA,3.192,311.022
18-02-2024,P027,Product_27,19,6.89,0,130.99,USA,3.192,311.022
18-02-2024,P039,Product_39,16,9.12,15,123.99,USA,3.192,311.022
18-02-2024,P026,Product_26,15,18.33,0,275.01,USA,3.192,311.022
18-02-2024,P012,Product_12,20,19.36,10,348.47,USA,3.192,311.022
18-02-2024,P024,Product_24,27,23.96,10,582.25,USA,3.192,311.022
18-02-2024,P001,Product_1,23,16.09,10,333.02,USA,3.192,311.022
18-02-2024,P002,Product_2,24,17.25,5,393.22,USA,3.192,311.022
18-02-2024,P003,Product_3,19,21.24,0,403.63,USA,3.192,311.022
18-02-2024,P004,Product_4,23,13.33,5,291.28,USA,3.192,311.022
18-02-2024,P005,Product_5,22,44.28,10,876.79,USA,3.192,311.022
18-02-2024,P006,Product_6,25,36.15,10,813.43,USA,3.192,311.022
18-02-2024,P007,Product_7,22,16.24,0,357.17,USA,3.192,311.022
18-02-2024,P008,Product_8,21,13.13,5,261.86,USA,3.192,311.022
18-02-2024,P009,Product_9,14,46.2,0,646.76,USA,3.192,311.022
18-02-2024,P010,Product_10,25,46.6,20,931.96,USA,3.192,311.022
18-02-2024,P011,Product_11,20,47.49,0,949.84,USA,3.192,311.022
18-02-2024,P025,Product_25,13,15.74,0,204.68,USA,3.192,311.022
18-02-2024,P013,Product_13,17,6.67,5,107.65,USA,3.192,311.022
18-02-2024,P022,Product_22,27,26.59,5,682.15,USA,3.192,311.022
18-02-2024,P021,Product_21,17,49.91,0,848.42,USA,3.192,311.022
18-02-2024,P020,Product_20,25,47.26,10,1063.31,USA,3.192,311.022
18-02-2024,P019,Product_19,20,44.15,0,883.09,USA,3.192,311.022
18-02-2024,P023,Product_23,17,44.32,20,602.69,USA,3.192,311.022
18-02-2024,P017,Product_17,21,19.34,5,385.91,USA,3.192,311.022
18-02-2024,P016,Product_16,17,29.28,10,447.94,USA,3.192,311.022
18-02-2024,P015,Product_15,19,20.29,10,347.03,USA,3.192,311.022
18-02-2024,P014,Product_14,18,8.46,5,144.72,USA,3.192,311.022
18-02-2024,P018,Product_18,24,15.48,0,371.6,USA,3.192,311.022
25-02-2024,P038,Product_38,19,15.89,20,241.56,USA,3.269,311.022
25-02-2024,P028,Product_28,22,39.69,10,785.89,USA,3.269,311.022
25-02-2024,P029,Product_29,20,39.25,5,745.68,USA,3.269,311.022
25-02-2024,P030,Product_30,23,40.84,0,939.42,USA,3.269,311.022
25-02-2024,P031,Product_31,16,10.28,0,164.46,USA,3.269,311.022
25-02-2024,P033,Product_33,24,7.89,5,179.88,USA,3.269,311.022
25-02-2024,P034,Product_34,16,18.97,0,303.46,USA,3.269,311.022
25-02-2024,P035,Product_35,17,5.52,0,93.89,USA,3.269,311.022
25-02-2024,P036,Product_36,7,32,0,224.01,USA,3.269,311.022
25-02-2024,P037,Product_37,15,36.27,15,462.5,USA,3.269,311.022
25-02-2024,P039,Product_39,27,11.41,0,308.13,USA,3.269,311.022
25-02-2024,P044,Product_44,23,41.03,0,943.61,USA,3.269,311.022
25-02-2024,P041,Product_41,18,19.69,5,336.71,USA,3.269,311.022
25-02-2024,P042,Product_42,16,6.49,0,103.91,USA,3.269,311.022
25-02-2024,P043,Product_43,28,22.86,0,640.12,USA,3.269,311.022
